nomor_kartu_keluarga,id_pelanggan_pln,daya_terpasang,additional_info
3171000040905340,317100001001,23000,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""tidak ada""}"
1271000061145210,127100001002,13200,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""genset""}"
3201000098659922,320100001003,16500,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-3"", ""sumber_energi_lain"": ""genset""}"
6371000036950169,637100001004,1300,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""genset""}"
7371000029181264,737100001005,23000,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""tidak ada""}"
3578000016887758,357800001006,7700,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-3"", ""sumber_energi_lain"": ""genset""}"
3374000046158150,337400001007,3500,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""tidak ada""}"
3175000062091490,317500001008,1300,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""solar panel""}"
3174000092304466,317400001009,13200,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""tidak ada""}"
3372000058658147,337200001010,10600,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""solar panel""}"
3674000020893130,367400001011,3500,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""tidak ada""}"
3372000058658147,337200001012,900,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""tidak ada""}"
3273000021135441,327300001013,10600,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""genset""}"
3174000092304466,317400001014,2200,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-3"", ""sumber_energi_lain"": ""tidak ada""}"
3374000046158150,337400001015,16500,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-3"", ""sumber_energi_lain"": ""tidak ada""}"
3573000031583815,357300001016,900,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""tidak ada""}"
3173000093741078,317300001017,6600,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-3"", ""sumber_energi_lain"": ""tidak ada""}"
3171000040905340,317100001018,11000,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-3"", ""sumber_energi_lain"": ""tidak ada""}"
3171000040905340,317100001019,10600,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""genset""}"
3471000079612692,347100001020,16500,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""solar panel""}"
6371000036950169,637100001021,23000,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""tidak ada""}"
3171000040905340,317100001022,900,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""tidak ada""}"
3273000021135441,327300001023,10600,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-3"", ""sumber_energi_lain"": ""genset""}"
3171000040905340,317100001024,23000,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""solar panel""}"
3471000079612692,347100001025,3500,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-3"", ""sumber_energi_lain"": ""solar panel""}"
7371000029181264,737100001026,900,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""solar panel""}"
3671000013127789,367100001027,16500,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""solar panel""}"
3573000031583815,357300001028,900,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""tidak ada""}"
1271000061145210,127100001029,10600,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""tidak ada""}"
3175000062091490,317500001030,7700,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-3"", ""sumber_energi_lain"": ""genset""}"
3276000072953355,327600001031,4400,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""solar panel""}"
3201000098659922,320100001032,13200,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""tidak ada""}"
6371000036950169,637100001033,1300,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""solar panel""}"
3518000077537749,351800001034,5500,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""solar panel""}"
3518000077537749,351800001035,10600,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-3"", ""sumber_energi_lain"": ""genset""}"
3578000016887758,357800001036,10600,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-3"", ""sumber_energi_lain"": ""genset""}"
3173000093741078,317300001037,900,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""solar panel""}"
3201000098659922,320100001038,23000,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-3"", ""sumber_energi_lain"": ""tidak ada""}"
3674000020893130,367400001039,13200,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-3"", ""sumber_energi_lain"": ""tidak ada""}"
3573000031583815,357300001040,900,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-3"", ""sumber_energi_lain"": ""tidak ada""}"
3172000043708917,317200001041,3500,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""tidak ada""}"
3172000043708917,317200001042,11000,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""tidak ada""}"
3276000072953355,327600001043,16500,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""tidak ada""}"
3671000013127789,367100001044,7700,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-3"", ""sumber_energi_lain"": ""tidak ada""}"
3173000093741078,317300001045,7700,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""tidak ada""}"
3578000016887758,357800001046,23000,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""genset""}"
3671000013127789,367100001047,450,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""tidak ada""}"
1271000061145210,127100001048,2200,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-3"", ""sumber_energi_lain"": ""tidak ada""}"
3171000040905340,317100001049,450,"{""jenis_sambungan"": ""pascabayar"", ""golongan_tarif"": ""R-1"", ""sumber_energi_lain"": ""genset""}"
3372000058658147,337200001050,10600,"{""jenis_sambungan"": ""prabayar"", ""golongan_tarif"": ""R-2"", ""sumber_energi_lain"": ""solar panel""}"
