nomor_induk_kependudukan,status_kepemilikan_rumah,jenis_lantai_terluas,luas_lantai,jenis_dinding_terluas,jenis_atap_terluas,sumber_air_minum_utama,sumber_penerangan_utama,fasilitas_bab,jenis_kloset,pembuangan_akhir_tinja
3171530470000100,4,3,71,4,3,7,1,1,1,4
1271461078000200,3,1,227,1,2,4,4,1,1,2
3201650967000300,5,3,100,3,1,5,5,1,3,5
6371030195000400,1,6,47,1,5,5,2,3,1,4
7371601267000500,3,1,48,3,3,4,1,3,3,1
3578700985000600,3,5,230,4,5,1,2,3,1,5
3374580501000700,6,2,61,1,2,4,1,3,4,3
3175620656000800,5,6,211,2,5,7,1,2,1,2
3174190980000900,5,3,289,4,2,1,3,1,2,1
3372451082001000,6,3,147,4,1,5,2,2,2,1
3674201252001100,6,4,264,4,4,9,4,2,4,4
3372211259001200,3,4,266,1,5,10,2,3,3,4
3273520972001300,1,6,297,3,6,4,2,2,1,4
3174420261001400,4,5,155,5,2,10,2,2,1,2
3374310851001500,3,6,67,3,5,7,1,1,3,3
3573311288001600,6,5,23,1,3,3,1,1,1,2
3173150295001700,5,1,113,1,6,4,4,1,1,2
3171141170001800,3,1,28,3,2,1,2,2,1,4
3171220171001900,5,5,111,4,2,10,4,2,1,2
3471270852002000,6,4,98,3,3,9,1,3,3,4
6371670360002100,6,4,170,3,2,5,3,3,3,1
3171550851002200,2,4,131,1,4,9,5,2,3,4
3273630360002300,4,2,73,5,5,8,3,1,2,4
3171131055002400,6,1,118,2,4,10,4,3,1,4
3471501260002500,2,4,180,4,4,5,3,1,1,4
7371110256002600,2,5,149,1,6,1,1,2,2,4
3671300978002700,3,6,242,3,4,6,1,3,2,5
3573230787002800,6,6,157,5,1,9,4,3,2,2
1271630692002900,4,1,138,1,1,5,5,3,2,3
3175550563003000,6,1,94,4,3,5,3,2,4,1
3276121250003100,5,5,266,5,3,7,4,1,2,5
3201170273003200,5,4,125,5,1,9,5,3,3,3
6371650898003300,3,3,82,2,4,5,3,2,4,5
3518010304003400,3,5,89,4,3,4,5,1,2,1
3518251197003500,2,3,99,2,3,5,2,1,1,5
3578120853003600,1,4,177,5,5,6,5,3,4,2
3173690162003700,1,6,100,5,4,7,1,1,2,5
3201060262003800,2,1,73,4,5,4,5,2,4,5
3674500684003900,3,4,53,1,4,5,2,3,3,3
3573490456004000,5,1,75,1,5,1,3,3,2,1
3172530450004100,5,2,260,5,3,2,4,2,2,2
3172670155004200,5,5,195,3,2,4,3,3,4,4
3276500298004300,2,6,92,1,3,9,5,1,4,3
3671440150004400,2,4,275,1,6,4,2,2,3,1
3173630664004500,1,3,229,4,5,10,1,1,4,5
3578120505004600,2,3,145,5,6,10,2,3,4,3
3671111055004700,2,4,166,2,5,10,1,3,2,5
1271650469004800,1,3,137,5,2,9,2,1,1,1
3171480101004900,6,5,273,4,6,8,5,3,4,2
3372611058005000,1,3,69,2,5,2,5,2,4,5
