nomor_kartu_keluarga,status_kepemilikan_rumah,jenis_lantai_terluas,luas_lantai,jenis_dinding_terluas,jenis_atap_terluas,sumber_air_minum_utama,sumber_penerangan_utama,fasilitas_bab,jenis_kloset,pembuangan_akhir_tinja
3171000000000001,01,06,190,05,02,10,05,02,02,02
3172000000000002,06,05,102,04,01,07,01,02,02,04
3173000000000003,02,05,140,03,04,04,04,02,04,04
3174000000000004,05,05,232,02,02,10,04,01,03,01
3175000000000005,05,01,282,01,03,02,03,01,03,04
3201000000000006,04,01,131,04,03,01,02,02,01,04
3273000000000007,04,01,209,02,01,06,02,01,03,02
3276000000000008,03,04,89,04,04,10,01,01,01,01
3374000000000009,02,05,288,04,01,05,01,01,03,01
3372000000000010,04,06,252,01,01,08,01,03,01,05
3471000000000011,03,04,18,05,03,04,02,03,04,02
3578000000000012,05,03,52,05,05,09,01,03,01,04
3573000000000013,06,04,209,03,06,01,01,02,01,03
3518000000000014,06,06,71,05,06,06,01,01,01,03
3671000000000015,06,04,263,02,02,02,02,03,04,01
3674000000000016,01,02,39,03,03,09,01,02,04,03
7371000000000017,06,02,164,03,01,06,01,02,01,03
1271000000000018,06,04,215,03,02,08,04,03,04,03
6371000000000019,03,01,235,01,04,10,05,01,03,03
3578000000000020,03,06,169,03,04,10,01,03,04,02
3171000000000021,04,01,198,05,04,05,03,03,01,01
3172000000000022,03,05,99,01,02,10,04,03,04,01
3173000000000023,02,06,205,03,04,10,01,01,02,04
3174000000000024,04,01,88,05,03,07,03,02,03,02
3175000000000025,06,02,273,05,04,09,01,01,03,03
3201000000000026,05,03,269,02,01,03,02,01,04,02
3273000000000027,01,06,181,03,06,02,04,03,03,03
3276000000000028,03,05,132,01,02,03,02,01,04,01
3374000000000029,05,03,257,05,02,10,01,01,01,03
3372000000000030,06,06,263,05,04,07,01,03,01,02
3471000000000031,04,04,282,03,02,09,01,03,02,02
3578000000000032,01,05,96,03,02,03,01,02,02,03
3573000000000033,03,01,146,02,06,09,05,02,02,03
3518000000000034,05,06,104,05,05,03,01,01,03,05
3671000000000035,01,01,41,05,03,04,01,03,04,05
3674000000000036,06,05,166,03,04,04,04,03,04,03
7371000000000037,02,04,230,04,04,04,01,02,02,03
1271000000000038,06,03,222,02,03,09,03,03,01,03
6371000000000039,01,03,248,02,02,02,01,01,03,04
3578000000000040,02,02,185,05,06,06,04,01,02,04
3171000000000041,04,03,272,01,01,07,04,03,04,02
3172000000000042,03,01,43,03,04,10,01,03,04,03
3173000000000043,04,02,153,03,04,06,01,01,04,01
3174000000000044,03,05,165,01,04,09,02,02,03,05
3175000000000045,02,01,219,03,03,09,01,02,02,02
3201000000000046,05,01,41,01,02,06,04,02,04,02
3273000000000047,02,03,181,02,04,10,05,03,03,05
3276000000000048,05,05,268,05,03,08,01,01,03,03
3374000000000049,05,03,31,05,04,05,04,03,02,01
3372000000000050,05,06,212,02,06,04,02,01,01,02
