nomor_kartu_keluarga,nama_anggota_keluarga,jumlah_anggota_keluarga,nomor_induk_kependudukan,nama,tanggal_lahir,jenis_kelamin,status_kawin,status_hubungan_keluarga,alamat,kode_provinsi,kode_kabupaten_kota,kode_kecamatan,kode_kelurahan_desa,alamat_ktp,rt_ktp,rw_ktp,dusun_ktp,kode_provinsi_ktp,kode_kabupaten_kota_ktp,kode_kecamatan_ktp,kode_kelurahan_desa_ktp
3171000040905340,SURYA SETIAWAN; NINA PRATAMA,3,3171530470000100,NINA PRATAMA,1970-04-13,2,2,1,JL. RAYA BOGOR NO. 56 RT 08 RW 07 PASAR BARU SAWAH BESAR JAKARTA PUSAT,31,3171,317102,3171021001,JL. KEBON JERUK NO. 18 PASAR BARU SAWAH BESAR JAKARTA PUSAT,03,08,,31,3171,317102,3171021001
1271000061145210,AHMAD SETIAWAN; MIRA WAHYUDI,2,1271461078000200,MIRA WAHYUDI,1978-10-06,2,2,3,JL. VETERAN NO. 111 RT 10 RW 07 SUNGAI MATI MEDAN KOTA KOTA MEDAN,12,1271,127101,1271011001,JL. PAHLAWAN NO. 98 SUNGAI MATI MEDAN KOTA KOTA MEDAN,20,10,,12,1271,127101,1271011001
3201000098659922,NOVAN SINAGA; RANIA SANTOSO,5,3201650967000300,RANIA SANTOSO,1967-09-25,2,2,7,JL. KEBON JERUK NO. 76 RT 07 RW 03 CIBINONG CIBINONG KAB. BOGOR,32,3201,320101,3201011001,JL. SILIWANGI NO. 1 CIBINONG CIBINONG KAB. BOGOR,08,07,,32,3201,320101,3201011001
6371000036950169,MUHAMMAD NASUTION; FIRMAN HIDAYAT,5,6371030195000400,FIRMAN HIDAYAT,1995-01-03,1,1,4,JL. A. YANI NO. 80 RT 06 RW 09 KERTAK HANYAR BANJARMASIN TENGAH KOTA BANJARMASIN,63,6371,637101,6371011001,JL. SOEKARNO HATTA NO. 136 KERTAK HANYAR BANJARMASIN TENGAH KOTA BANJARMASIN,09,07,,63,6371,637101,6371011001
7371000029181264,YUSUF HARAHAP; DEWI PRATAMA,2,7371601267000500,DEWI PRATAMA,1967-12-20,2,2,1,JL. SUDIRMAN NO. 20 RT 19 RW 01 MARISO MARISO KOTA MAKASSAR,73,7371,737101,7371011001,JL. PAHLAWAN NO. 26 MARISO MARISO KOTA MAKASSAR,12,09,Dusun V,73,7371,737101,7371011001
3578000016887758,BAGAS SETIAWAN; FENI SAPUTRA,5,3578700985000600,FENI SAPUTRA,1985-09-30,2,4,3,JL. SILIWANGI NO. 33 RT 05 RW 08 GENTENG GENTENG KOTA SURABAYA,35,3578,357801,3578011001,JL. PAHLAWAN NO. 71 GENTENG GENTENG KOTA SURABAYA,06,06,Dusun V,35,3578,357801,3578011001
3374000046158150,BUDI PERMANA; TIKA RAHAYU,2,3374580501000700,TIKA RAHAYU,2001-05-18,2,4,4,JL. SOEKARNO HATTA NO. 122 RT 06 RW 02 GAJAHMUNGKUR GAJAHMUNGKUR KOTA SEMARANG,33,3374,337401,3374011001,JL. DIPONEGORO NO. 85 GAJAHMUNGKUR GAJAHMUNGKUR KOTA SEMARANG,15,09,Dusun I,33,3374,337401,3374011001
3175000062091490,PUTRA SETIAWAN; PUTRI NASUTION,4,3175620656000800,PUTRI NASUTION,1956-06-22,2,1,4,JL. CIPUTAT RAYA NO. 137 RT 09 RW 01 PALMERIAM MATRAMAN JAKARTA TIMUR,31,3175,317501,3175011001,JL. SILIWANGI NO. 10 PALMERIAM MATRAMAN JAKARTA TIMUR,06,03,Dusun I,31,3175,317501,3175011001
3174000092304466,PUTRA MANURUNG; REZA PURNAMA,5,3174190980000900,REZA PURNAMA,1980-09-19,1,2,1,JL. IMAM BONJOL NO. 41 RT 15 RW 01 TEBET BARAT TEBET JAKARTA SELATAN,31,3174,317401,3174011001,JL. VETERAN NO. 70 TEBET BARAT TEBET JAKARTA SELATAN,07,02,,31,3174,317401,3174011001
3372000058658147,FIRMAN KUSUMA; EKA WAHYUDI,3,3372451082001000,EKA WAHYUDI,1982-10-05,2,2,4,JL. GATOT SUBROTO NO. 45 RT 12 RW 09 LAWEYAN LAWEYAN KOTA SURAKARTA,33,3372,337201,3372011001,JL. HAYAM WURUK NO. 140 LAWEYAN LAWEYAN KOTA SURAKARTA,04,03,Dusun III,33,3372,337201,3372011001
3674000020893130,GILANG NASUTION; REZA NASUTION,5,3674201252001100,REZA NASUTION,1952-12-20,1,3,3,JL. VETERAN NO. 91 RT 08 RW 10 CIPUTAT CIPUTAT KOTA TANGERANG SELATAN,36,3674,367401,3674011001,JL. PAHLAWAN NO. 79 CIPUTAT CIPUTAT KOTA TANGERANG SELATAN,02,06,,36,3674,367401,3674011001
3372000058658147,FIRMAN KUSUMA; EKA WAHYUDI; LUKMAN LESTARI,3,3372211259001200,LUKMAN LESTARI,1959-12-21,1,1,3,JL. A. YANI NO. 97 RT 04 RW 04 LAWEYAN LAWEYAN KOTA SURAKARTA,33,3372,337201,3372011001,JL. VETERAN NO. 114 LAWEYAN LAWEYAN KOTA SURAKARTA,20,02,Dusun III,33,3372,337201,3372011001
3273000021135441,TONY LUBIS; OKTA SIREGAR,4,3273520972001300,OKTA SIREGAR,1972-09-12,2,1,1,JL. RAYA BOGOR NO. 150 RT 13 RW 01 CIJAGRA LENGKONG KOTA BANDUNG,32,3273,327301,3273011001,JL. SOEKARNO HATTA NO. 76 CIJAGRA LENGKONG KOTA BANDUNG,05,01,Dusun V,32,3273,327301,3273011001
3174000092304466,PUTRA MANURUNG; REZA PURNAMA; AYU PERMANA,5,3174420261001400,AYU PERMANA,1961-02-02,2,1,2,JL. CIPUTAT RAYA NO. 91 RT 06 RW 10 TEBET BARAT TEBET JAKARTA SELATAN,31,3174,317401,3174011001,JL. KEBON JERUK NO. 59 TEBET BARAT TEBET JAKARTA SELATAN,11,01,,31,3174,317401,3174011001
3374000046158150,BUDI PERMANA; TIKA RAHAYU,2,3374310851001500,WAHYU SITUMORANG,1951-08-31,1,3,3,JL. GAJAH MADA NO. 132 RT 08 RW 03 GAJAHMUNGKUR GAJAHMUNGKUR KOTA SEMARANG,33,3374,337401,3374011001,JL. KEBON JERUK NO. 42 GAJAHMUNGKUR GAJAHMUNGKUR KOTA SEMARANG,02,04,Dusun IV,33,3374,337401,3374011001
3573000031583815,HARIS HARAHAP; BUDI SIREGAR,3,3573311288001600,BUDI SIREGAR,1988-12-31,1,1,3,JL. SUDIRMAN NO. 34 RT 06 RW 05 KLOJEN KLOJEN KOTA MALANG,35,3573,357301,3573011001,JL. HAYAM WURUK NO. 1 KLOJEN KLOJEN KOTA MALANG,09,03,,35,3573,357301,3573011001
3173000093741078,AGUS HIDAYAT; EKO SUSANTO,2,3173150295001700,EKO SUSANTO,1995-02-15,1,1,1,JL. CIPUTAT RAYA NO. 43 RT 19 RW 04 CENGKARENG BARAT CENGKARENG JAKARTA BARAT,31,3173,317301,3173011001,JL. MARGONDA RAYA NO. 129 CENGKARENG BARAT CENGKARENG JAKARTA BARAT,16,10,Dusun II,31,3173,317301,3173011001
