nomor_induk_kependudukan,pbi_nas,pbi_pemda,kondisi_gizi,penglihatan,pendengaran,berjalan_atau_naik_tangga,menggunakan_tangan_jari,belajar_kemampuan_intelektual,pengendalian_perilaku,berbicara_komunikasi,mengurus_diri,mengingat_berkonsentrasi,kesedihan_depresi,penyakit_kronis
3171530470000100,1,2,4,4,2,3,1,3,1,1,1,2,3,7
1271461078000200,1,1,4,4,1,3,2,1,4,3,1,2,4,9
3201650967000300,1,1,4,2,1,1,1,3,1,3,1,4,2,10
6371030195000400,1,1,1,3,4,3,2,4,3,1,3,4,4,8
7371601267000500,2,2,1,3,2,1,1,2,2,2,4,2,3,10
3578700985000600,2,2,4,3,1,3,2,3,2,1,2,1,1,8
3374580501000700,2,2,3,3,4,1,4,2,3,2,4,2,2,5
3175620656000800,1,1,4,1,1,4,2,2,2,4,4,1,2,7
3174190980000900,1,2,2,4,1,4,2,4,2,2,4,1,4,0
3372451082001000,1,2,3,3,4,3,2,4,3,2,3,2,1,2
3674201252001100,2,2,1,4,4,1,1,1,3,3,1,4,2,1
3372211259001200,2,1,4,3,4,3,4,3,2,2,2,2,3,1
3273520972001300,1,1,3,2,1,2,2,2,2,3,2,2,2,10
3174420261001400,1,1,2,2,3,3,4,3,4,3,4,2,2,10
3374310851001500,2,2,1,2,4,3,2,2,4,1,4,2,3,5
3573311288001600,1,2,2,2,2,2,1,1,4,1,4,2,3,7
3173150295001700,1,1,2,3,4,3,1,2,2,1,4,2,4,6
3171141170001800,2,1,2,4,4,4,3,2,2,1,1,1,2,0
3171220171001900,2,2,4,4,2,2,3,1,4,2,4,1,4,4
3471270852002000,1,1,3,3,4,1,2,4,2,4,4,2,3,10
6371670360002100,1,2,4,2,2,3,3,3,4,4,3,3,3,7
3171550851002200,1,2,2,2,4,3,4,2,2,2,2,3,3,5
3273630360002300,2,2,4,3,1,1,1,3,1,3,2,2,2,6
3171131055002400,2,1,4,4,3,1,3,2,1,4,4,1,3,0
3471501260002500,1,2,2,2,4,4,4,4,3,2,3,4,2,4
7371110256002600,2,1,4,2,1,4,4,4,4,4,4,2,4,8
3671300978002700,1,2,4,4,1,1,4,3,3,1,3,4,2,11
3573230787002800,2,1,2,1,1,4,4,2,2,2,1,3,1,4
1271630692002900,2,2,3,3,1,4,2,1,3,3,3,4,1,7
3175550563003000,1,1,4,2,1,1,2,4,4,1,3,4,3,11
3276121250003100,2,2,4,1,2,4,4,1,3,4,4,2,1,7
3201170273003200,1,1,2,1,3,4,4,3,2,3,3,3,4,4
6371650898003300,1,1,2,2,4,1,2,4,3,3,2,4,4,5
3518010304003400,2,1,1,1,3,2,4,2,1,4,1,3,2,8
3518251197003500,2,2,1,1,1,3,2,4,1,1,4,1,2,10
3578120853003600,1,1,3,1,3,3,3,3,2,1,4,2,4,5
3173690162003700,1,2,3,1,3,4,3,4,4,4,3,4,3,7
3201060262003800,2,1,2,2,2,2,4,1,3,4,3,2,3,3
3674500684003900,2,2,2,2,1,4,3,2,3,3,3,1,2,5
3573490456004000,2,2,2,4,4,2,2,2,1,2,3,4,4,12
3172530450004100,1,2,1,3,2,1,3,4,2,2,2,2,4,6
3172670155004200,2,2,4,4,2,3,4,3,4,3,3,4,1,7
3276500298004300,2,2,1,2,4,2,4,1,1,2,2,1,2,7
3671440150004400,1,1,4,3,1,1,2,1,4,4,3,4,4,2
3173630664004500,2,2,4,3,1,3,1,2,3,4,1,4,3,0
3578120505004600,2,2,1,2,4,2,3,4,2,4,3,2,3,8
3671111055004700,1,1,2,4,4,4,2,2,4,3,4,2,1,10
1271650469004800,1,1,4,1,1,3,3,2,4,1,2,4,3,1
3171480101004900,1,2,3,3,3,4,4,4,1,1,2,2,4,8
3372611058005000,2,1,2,4,3,3,1,2,3,3,2,4,4,5
