nomor_kartu_keluarga,desil_nasional,bahan_bakar_utama_memasak,kepemilikan_aset,aset_bergerak_tabung_gas,aset_bergerak_lemari_es,aset_bergerak_ac,aset_bergerak_pemanas_air,aset_bergerak_telepon_rumah,aset_bergerak_tv_datar,aset_bergerak_emas_perhiasan,aset_bergerak_komputer_laptop_tablet,aset_bergerak_sepeda_motor,aset_bergerak_sepeda,aset_bergerak_mobil,aset_bergerak_perahu,aset_bergerak_kapal_perahu_motor,aset_bergerak_smartphone,aset_tidak_bergerak_lahan_lainnya,aset_tidak_bergerak_rumah_lainnya,jumlah_ternak_sapi,jumlah_ternak_kerbau,jumlah_ternak_kuda,jumlah_ternak_babi,jumlah_ternak_kambing_domba
3171000000000001,2,01,9,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,2,0,0,0,0,0
3172000000000002,4,03,4,1,1,2,2,2,2,1,2,1,2,2,2,2,1,2,1,0,0,0,0,5
3173000000000003,8,06,12,1,1,2,2,2,1,2,1,1,2,1,2,2,1,2,2,1,0,0,10,0
3174000000000004,6,02,16,1,2,2,2,2,1,1,1,2,1,1,2,2,1,1,1,0,0,0,7,0
3175000000000005,8,05,9,2,2,1,2,2,1,1,2,1,2,2,2,2,1,2,1,0,0,0,0,0
3201000000000006,3,03,6,1,2,2,1,2,1,2,2,2,1,1,2,2,1,2,1,0,0,0,0,0
3273000000000007,5,05,20,1,1,2,2,2,1,2,2,1,2,1,2,2,1,1,2,1,0,0,0,4
3276000000000008,5,06,16,1,1,2,2,2,2,2,1,1,2,2,2,2,1,2,1,0,0,0,0,0
3374000000000009,8,02,14,1,1,2,1,2,2,1,2,1,1,1,2,2,1,2,2,0,0,2,0,0
3372000000000010,8,03,14,2,2,2,2,2,1,1,1,2,1,2,1,2,2,2,1,0,0,0,4,0
3471000000000011,10,02,19,1,2,2,2,2,2,1,2,1,1,2,2,2,1,1,2,0,0,0,0,0
3578000000000012,6,01,8,1,1,2,2,2,2,2,1,2,1,2,2,2,1,1,2,0,0,0,0,0
3573000000000013,5,05,16,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,2,0,3,0,0,5
3518000000000014,6,01,12,1,1,1,2,2,1,2,1,2,2,2,2,2,1,2,2,0,0,0,0,0
3671000000000015,2,04,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,0,0,0,0,0
3674000000000016,5,01,4,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,1,0,0,0,0,0
7371000000000017,2,06,10,1,2,1,2,2,1,2,1,2,1,2,2,2,1,1,2,0,0,0,0,0
1271000000000018,3,06,3,1,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,0,0,0,0,0
6371000000000019,2,04,8,1,2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,0,0,0,0,0
3578000000000020,5,02,9,2,1,2,2,1,1,1,1,1,1,1,2,2,1,2,2,0,0,0,0,0
3171000000000021,1,05,13,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,0,0,0,0,0
3172000000000022,7,05,19,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,6,0,0,0,1
3173000000000023,4,02,1,2,1,2,1,2,1,1,1,1,2,2,2,2,1,2,2,0,0,0,0,0
3174000000000024,10,06,8,1,2,2,2,1,2,2,1,1,1,2,2,2,2,1,2,0,0,0,0,0
3175000000000025,5,05,18,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,0,0,0,0,0
3201000000000026,9,01,17,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,0,0,0,0,0
3273000000000027,5,02,4,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,0,0,1,0,0
3276000000000028,3,06,16,1,1,1,2,2,2,1,2,1,1,2,2,2,1,2,2,4,0,0,0,0
3374000000000029,4,05,13,1,1,2,2,2,2,2,2,2,1,1,2,2,1,1,1,0,0,0,0,0
3372000000000030,8,01,8,2,2,2,2,2,1,1,2,2,2,1,2,2,1,2,2,0,0,0,0,0
3471000000000031,8,04,3,1,2,2,2,1,1,2,2,1,1,2,2,2,1,1,2,0,0,0,0,0
3578000000000032,2,04,12,1,1,1,1,2,1,2,1,2,1,1,2,2,1,2,2,9,0,0,0,0
3573000000000033,8,06,15,2,1,2,2,2,2,1,2,1,1,1,2,2,1,2,2,0,0,0,0,0
3518000000000034,9,06,9,1,1,2,2,1,1,1,2,1,1,2,2,2,1,1,1,0,0,0,0,0
3671000000000035,8,05,16,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,0,0,0,9,0
3674000000000036,6,01,15,1,2,1,1,2,2,1,2,1,2,2,1,2,1,2,2,0,0,0,0,0
7371000000000037,4,06,10,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,0,0,0,0,0
