nomor_induk_kependudukan,status_bekerja,lapangan_usaha_dari_pekerjaan_utama,status_dalam_pekerjaan_utama,kepemilikan_usaha,jumlah_usaha,lapangan_usaha_dari_usaha_utama,jumlah_pekerja_yang_dibayar_dari_usaha_utama,jumlah_pekerja_yang_tidak_dibayar_dari_usaha_utama,omzet_usaha_utama
3171010101000001,1,U,3,4,2,U,10,5,4
3172010101000002,1,L,2,4,1,L,2,4,6
3173010101000003,3,Q,1,1,0,,0,0,0
3174010101000004,3,B,7,1,0,,0,0,0
3175010101000005,1,U,1,2,1,U,0,1,5
3201010101000006,1,B,6,4,3,B,0,0,5
3273010101000007,1,A,5,3,0,,0,0,0
3276010101000008,1,J,5,4,0,,0,0,0
3374010101000009,3,F,1,1,0,,0,0,0
3372010101000010,1,H,5,3,1,H,5,2,4
3471010101000011,1,M,5,2,3,M,3,2,6
3578010101000012,3,C,6,1,0,,0,0,0
3573010101000013,1,M,5,4,3,M,0,5,1
3518010101000014,2,C,4,4,0,,0,0,0
3671010101000015,2,K,5,1,0,,0,0,0
3674010101000016,3,B,2,2,0,,0,0,0
7371010101000017,3,S,4,3,0,,0,0,0
1271010101000018,1,C,5,1,2,C,2,2,1
6371010101000019,3,S,2,4,0,,0,0,0
3578010101000020,3,J,2,2,0,,0,0,0
3171010101000021,1,M,4,2,2,M,1,4,6
3172010101000022,3,B,1,4,0,,0,0,0
3173010101000023,1,C,5,4,2,C,5,0,6
3174010101000024,1,O,2,3,3,O,8,3,4
3175010101000025,1,S,1,3,3,S,3,5,1
3201010101000026,1,E,6,2,3,E,6,2,3
3273010101000027,1,A,4,3,2,A,4,0,2
3276010101000028,1,N,5,4,3,N,1,0,1
3374010101000029,1,C,7,4,2,C,0,2,4
3372010101000030,1,C,5,2,1,C,10,3,2
3471010101000031,1,J,4,2,2,J,1,1,4
3578010101000032,1,J,7,1,3,J,5,2,2
3573010101000033,2,P,5,2,0,,0,0,0
3518010101000034,1,E,1,4,2,E,5,4,4
3671010101000035,3,K,4,3,0,,0,0,0
3674010101000036,1,U,3,3,1,U,9,5,2
7371010101000037,1,F,3,3,3,F,10,3,5
1271010101000038,2,K,4,3,0,,0,0,0
6371010101000039,3,M,3,1,0,,0,0,0
3578010101000040,3,G,5,2,0,,0,0,0
3171010101000041,2,R,1,4,0,,0,0,0
3172010101000042,3,G,4,3,0,,0,0,0
3173010101000043,3,C,7,4,0,,0,0,0
3174010101000044,2,E,6,3,0,,0,0,0
3175010101000045,1,E,7,4,3,E,1,3,5
3201010101000046,1,M,5,1,3,M,5,5,5
3273010101000047,1,C,7,2,0,,0,0,0
3276010101000048,2,L,2,1,0,,0,0,0
3374010101000049,1,U,7,3,3,U,6,0,1
3372010101000050,1,H,4,3,1,H,6,3,6
