id,nomor_induk_kependudukan,partisipasi_sekolah,jenjang_tertinggi_yang_diduduki,kelas_tertinggi_yang_diduduki,ijazah_tertinggi_yang_dimiliki
1,3171530470000100,4,SD,6,Tidak Punya
2,1271461078000200,4,D4/S1,2,SMK/Sederajat
3,3201650967000300,4,Tidak Ada,0,S2
4,6371030195000400,2,SMP,8,S3
5,7371601267000500,1,SMP,8,D3
6,3578700985000600,1,S2,1,S2
7,3374580501000700,1,SMA,12,Tidak Punya
8,3175620656000800,1,SMK,12,S2
9,3174190980000900,4,SMP,8,SD/Sederajat
10,3372451082001000,2,SMA,11,SMA/Sederajat
11,3674201252001100,2,SMP,7,SMP/Sederajat
12,3372211259001200,1,SD,2,S3
13,3273520972001300,4,S2,4,S3
14,3174420261001400,1,D3,4,D4/S1
15,3374310851001500,3,D3,3,S2
16,3573311288001600,1,SMK,12,S2
17,3173150295001700,1,SMP,7,SMP/Sederajat
18,3171141170001800,1,SD,6,SD/Sederajat
19,3171220171001900,2,Tidak Ada,0,D4/S1
20,3471270852002000,1,SMA,12,D4/S1
21,6371670360002100,4,D3,4,S3
22,3171550851002200,2,S2,4,SMK/Sederajat
23,3273630360002300,1,D3,5,D3
24,3171131055002400,2,D4/S1,5,D3
25,3471501260002500,4,S3,5,S3
26,7371110256002600,3,S2,4,S3
27,3671300978002700,1,D3,3,SD/Sederajat
28,3573230787002800,2,SMA,11,Tidak Punya
29,1271630692002900,1,SMK,12,Tidak Punya
30,3175550563003000,2,SMP,8,SMP/Sederajat
31,3276121250003100,1,D4/S1,7,SD/Sederajat
32,3201170273003200,1,D3,3,S2
33,6371650898003300,1,SD,4,SMP/Sederajat
34,3518010304003400,4,S3,5,SD/Sederajat
35,3518251197003500,1,S2,1,Tidak Punya
36,3578120853003600,2,S2,1,SMK/Sederajat
37,3173690162003700,2,D3,5,SD/Sederajat
38,3201060262003800,1,SMP,9,D4/S1
39,3674500684003900,1,Tidak Ada,0,S2
40,3573490456004000,3,SMK,11,S2
41,3172530450004100,2,SMK,11,D4/S1
42,3172670155004200,2,S2,4,SD/Sederajat
43,3276500298004300,3,SMK,12,D3
44,3671440150004400,4,D4/S1,4,S3
45,3173630664004500,3,Tidak Ada,0,SMK/Sederajat
46,3578120505004600,2,D4/S1,3,D3
47,3671111055004700,3,SMA,12,S2
48,1271650469004800,3,D3,4,SMA/Sederajat
49,3171480101004900,4,SMP,9,SD/Sederajat
50,3372611058005000,3,D3,2,Tidak Punya
